"nombre","nombre_oficial","pais_operador","operador","usos","finalidad","clase_orbita","periodo","masa","fecha","NORAD"
"Glonass 736 (Glonass 43-1, Cosmos 2464)","Cosmos 2464","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","671,2",1.415,02/09/2010,37139
"Glonass 742 (Glonass-M, Cosmos 2474)","Cosmos 2474","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","676,2",1.415,02/10/2011,37829
"Glonass 743 (Glonass 44-2, Cosmos 2476)","Cosmos 2476","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","677,46",1.415,04/11/2011,37867
"Glonass 744 (Glonass 44-3, Cosmos 2477)","Cosmos 2477","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","677,5",1.415,04/11/2011,37868
"Glonass 745 (Glonass 44-1, Cosmos 2475)","Cosmos 2475","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","677,54",1.415,04/11/2011,37869
"Glonass 747 (Glonass-M, Cosmos 2485)","Cosmos 2485","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,73",1.415,26/04/2013,39155
"Glonass 751 (Glonass-M, Cosmos 2514)","Cosmos 2514","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,75",1.415,07/02/2016,41330
"Glonass 752 (Glomass-M, Cosmos 2522)","Cosmos 2522","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,75",1.415,22/09/2017,42939
"Glonass 753 (Glonass-M, Cosmos 2516)","Cosmos 2516","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,49",1.415,29/05/2016,41554
"Glonass 755 (Glonass-M, Cosmos 2500)","Cosmos 2500","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,73",1.415,14/06/2014,40001
"Glonass 756 (Glonass-M, Cosmos 2527)","Cosmos 2527","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","676,03",1.415,18/06/2018,43508
"Glonass 757 (Glonass-M, Cosmos 2529)","Cosmos 2529","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","767,2",1.415,03/11/2018,43687
"Glonass 758 (Glonass-M, Cosmos 2534)","Cosmos 2534","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,7",1.415,27/05/2019,44299
"Glonass 759 (Glonass-M, Cosmos 2544)","Cosmos 2544","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","673,1",1.415,11/12/2019,44850
"Glonass 760 (Glonass-M, Cosmos 2545)","Cosmos 2545","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","676,2",1.415,16/02/2020,45358
"GNOMES-1 (GNSS Navigation and Occultation Measurement Satellites) ","GNOMES-1","USA","PlanetiQ","Commercial","Earth Science","LEO","96,7",30,30/08/2020,46266
"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)","GOES-13","USA","US Air Force","Military","Earth Observation","GEO",1436,3.200,24/05/2006,29155
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)","GOES-14","USA","NOAA (National Oceanographic and Atmospheric Administration)","Government","Earth Observation","GEO",1436,3.200,27/06/2009,35491
"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)","GOES-15","USA","NOAA (National Oceanographic and Atmospheric Administration)","Government","Earth Observation","GEO","1436,14",3.175,04/03/2010,36411
"GOES 16 (Geostationary Operational Environmental Satellite GOES-R)","GOES-R","USA","NOAA (National Oceanographic and Atmospheric Administration)","Government","Earth Observation","GEO","1436,1",5.192,19/11/2016,41866
"GOES 17 (Geostationary Operational Environmental Satellite GOES-S)","GOES-S","USA","NOAA (National Oceanographic and Atmospheric Administration)","Government","Earth Observation","GEO","1436,09",5.211,01/03/2018,43226
