fecha,total,acumulado
2015-09-12,1,987
2015-09-14,2,989
2015-09-19,13,1002
2015-09-23,3,1005
2015-09-24,4,1009
2015-09-28,6,1015
2015-09-29,1,1016
2015-09-30,2,1018
2015-10-01,1,1019
2015-10-07,4,1023
2015-10-11,1,1024
2015-10-12,1,1025
2015-10-16,2,1027
2015-10-26,1,1028
2015-10-31,1,1029
2015-11-09,2,1031
2015-11-12,1,1032
2015-11-17,1,1033
2015-11-20,1,1034
2015-11-24,1,1035
2015-11-26,1,1036
2015-12-09,1,1037
2015-12-16,5,1042
2015-12-17,3,1045
2015-12-22,9,1054
2015-12-24,1,1055
2015-12-28,1,1056
2016-01-15,1,1057
2016-01-17,1,1058
2016-01-20,1,1059
2016-01-29,1,1060
2016-02-11,1,1061
2016-02-16,1,1062
2016-02-17,2,1064
2016-03-11,1,1065
2016-03-13,1,1066
2016-03-24,1,1067
2016-03-30,1,1068
2016-04-03,1,1069
2016-04-25,2,1071
2016-04-27,3,1074
2016-04-28,1,1075
2016-05-02,1,1076
2016-05-06,1,1077
2016-05-08,1,1078
2016-05-10,2,1080
2016-05-12,1,1081
2016-05-15,1,1082
2016-05-24,2,1084
2016-05-27,1,1085
2016-05-29,4,1089
2016-06-05,1,1090
2016-06-15,2,1092
2016-06-19,2,1094
2016-06-22,14,1108
2016-06-24,1,1109
2016-06-29,1,1110
2016-07-02,1,1111
2016-07-12,2,1113
2016-07-28,1,1114
2016-08-09,1,1115
2016-08-14,1,1116
2016-08-15,1,1117
2016-08-19,2,1119
2016-08-24,2,1121
2016-09-03,1,1122
2016-09-06,1,1123
2016-09-08,1,1124
2016-09-11,1,1125
2016-09-13,1,1126
2016-09-16,5,1131
2016-09-26,7,1138
2016-10-02,1,1139
2016-10-03,1,1140
2016-10-12,1,1141
2016-10-17,4,1145
2016-11-06,1,1146
2016-11-11,6,1152
2016-11-17,4,1156
2016-11-19,1,1157
2016-11-22,1,1158
2016-12-06,1,1159
2016-12-15,8,1167
2016-12-18,1,1168
2016-12-20,1,1169
2016-12-21,6,1175
2016-12-28,2,1177
2017-01-03,2,1179
2017-01-05,1,1180
2017-01-06,2,1182
2017-01-08,2,1184
2017-01-14,10,1194
2017-01-20,1,1195
2017-01-24,1,1196
2017-01-28,1,1197
2017-02-03,1,1198
2017-02-14,42,1240
2017-02-15,14,1254
2017-03-06,1,1255
2017-03-12,1,1256
2017-03-16,2,1258
2017-03-17,1,1259
2017-03-30,1,1260
2017-04-05,2,1262
2017-04-12,1,1263
2017-04-18,4,1267
2017-05-01,1,1268
2017-05-07,1,1269
2017-05-11,2,1271
2017-05-15,1,1272
2017-05-18,1,1273
2017-05-25,1,1274
2017-05-31,1,1275
2017-06-03,1,1276
2017-06-05,1,1277
2017-06-15,4,1281
2017-06-18,1,1282
2017-06-22,3,1285
2017-06-23,24,1309
2017-06-25,10,1319
2017-06-28,2,1321
2017-07-06,1,1322
2017-07-12,3,1325
2017-07-14,45,1370
2017-08-11,1,1371
2017-08-12,6,1377
2017-08-16,1,1378
2017-08-18,1,1379
2017-08-19,1,1380
2017-08-25,1,1381
2017-08-26,3,1384
2017-09-01,2,1386
2017-09-10,12,1398
2017-09-12,1,1399
2017-09-22,1,1400
2017-09-24,1,1401
2017-09-28,1,1402
2017-09-29,5,1407
2017-10-12,2,1409
2017-10-13,1,1410
2017-10-15,1,1411
2017-10-24,1,1412
2017-10-30,1,1413
2017-10-31,8,1421
2017-11-10,1,1422
2017-11-14,2,1424
2017-11-18,3,1427
2017-11-20,2,1429
2017-11-21,3,1432
2017-11-26,3,1435
2017-12-04,1,1436
2017-12-07,2,1438
2017-12-09,1,1439
